sample_id,end_to_end_ms,send_to_response_created_ms,response_created_to_first_token_ms,first_token_to_done_ms,input_tokens,output_tokens,total_tokens,text_input_tokens,image_input_tokens,cached_tokens,total_cost_usd
514366_35_2,1189,1189,0,0,272,17,289,207,65,0,0.00068000
428305_69_3,1260,1260,0,0,267,25,292,202,65,0,0.00073400
286212_91_4,1320,1320,0,0,266,18,284,201,65,0,0.00067600
58079_34_1,746,746,0,0,270,10,280,205,65,0,0.00062000
119579_102_1,972,972,0,0,267,9,276,202,65,0,0.00060600
464196_74_all,1243,1243,0,0,269,21,290,204,65,0,0.00070600
74478_76_1,1149,1149,0,0,269,22,291,204,65,0,0.00071400
235843_97_2,975,975,0,0,264,18,282,199,65,0,0.00067200
449075_36_3,1093,1093,0,0,266,10,276,201,65,0,0.00061200
430643_0_3,775,775,0,0,272,10,282,207,65,0,0.00062400
